Id,Acutal Series Name,Predicted Series Name
42,Iris-setosa,Iris-setosa
56,Iris-versicolor,Iris-versicolor
38,Iris-setosa,Iris-setosa
53,Iris-versicolor,Iris-versicolor
49,Iris-setosa,Iris-setosa
85,Iris-versicolor,Iris-versicolor
135,Iris-virginica,Iris-virginica
142,Iris-virginica,Iris-virginica
108,Iris-virginica,Iris-virginica
133,Iris-virginica,Iris-versicolor
107,Iris-virginica,Iris-virginica
141,Iris-virginica,Iris-virginica
51,Iris-versicolor,Iris-versicolor
84,Iris-versicolor,Iris-versicolor
18,Iris-setosa,Iris-setosa
10,Iris-setosa,Iris-setosa
20,Iris-setosa,Iris-setosa
63,Iris-versicolor,Iris-versicolor
14,Iris-setosa,Iris-setosa
77,Iris-versicolor,Iris-versicolor
147,Iris-virginica,Iris-virginica
93,Iris-versicolor,Iris-versicolor
139,Iris-virginica,Iris-virginica
75,Iris-versicolor,Iris-versicolor
117,Iris-virginica,Iris-virginica
57,Iris-versicolor,Iris-versicolor
40,Iris-setosa,Iris-setosa
128,Iris-virginica,Iris-virginica
7,Iris-setosa,Iris-setosa
69,Iris-versicolor,Iris-versicolor
109,Iris-virginica,Iris-virginica
104,Iris-virginica,Iris-virginica
22,Iris-setosa,Iris-setosa
28,Iris-setosa,Iris-setosa
35,Iris-setosa,Iris-setosa
23,Iris-setosa,Iris-setosa
58,Iris-versicolor,Iris-versicolor
66,Iris-versicolor,Iris-versicolor
